user_id,recs
15,"[74748, 13413, 13588, 13570, 2943, 75568, 18206, 6071, 340, 10360, 1881, 7538, 74721, 13768, 75675, 13968, 45081, 10339, 13288, 823, 7637, 6453, 3228, 6277, 13327, 43781, 14380, 31964, 5814, 7105, 73080, 18927, 13458, 9712, 45163, 26481, 505, 26431, 6059, 14444, 9200, 18, 13593, 15061, 13822, 13798, 23939, 19304, 1258, 580]"
16,"[16, 37, 47924, 1141, 6920, 100, 989, 597, 990, 6815, 6277, 6822, 10001, 6741, 6695, 1664, 565, 6354, 74819, 74845, 6852, 47, 14462, 7994, 76442, 6972, 841, 504, 6656, 60, 72046, 22968, 6747, 27953, 6853, 9963, 74923, 22987, 73132, 946, 74719, 958, 74744, 26, 30663, 2182, 28794, 933, 28011, 22994]"
17,"[235, 958, 74744, 73159, 77131, 60, 6920, 22987, 7994, 6785, 15041, 77133, 1470, 990, 6815, 8767, 10882, 1141, 18021, 74819, 64453, 601, 21, 18186, 34859, 76088, 2249, 62468, 14939, 25676, 22978, 44035, 6853, 345, 5990, 18838, 37997, 322, 22968, 44007, 1548, 44010, 6505, 14471, 6741, 994, 34870, 6157, 23281, 12697]"
18,"[38556, 38995, 75453, 38545, 39907, 55368, 65282, 54524, 51601, 52420, 51621, 53089, 52310, 55948, 56610, 73871, 59091, 55138, 71657, 52077, 56470, 52617, 49371, 54522, 38085, 54969, 39666, 58788, 30589, 71678, 49107, 39645, 63056, 63564, 75837, 57616, 30513, 73005, 69320, 28921, 72398, 50641, 76646, 58566, 39611, 26063, 50107, 71932, 58750, 57527]"
19,"[13118, 8767, 76371, 7994, 74744, 375, 584, 76088, 77133, 565, 27953, 74923, 601, 603, 74819, 6920, 1470, 990, 22987, 22978, 6815, 22968, 23281, 6283, 6505, 27995, 1608, 23149, 14005, 75993, 25640, 504, 7105, 10049, 5931, 73159, 549, 23236, 5990, 989, 6789, 6741, 2379, 7819, 6680, 1405, 664, 73460, 6853, 64453]"
20,"[74810, 16, 356, 18969, 5950, 9839, 75675, 14797, 13364, 664, 13659, 161, 73460, 9963, 6721, 73132, 1719, 18927, 5800, 1141, 100, 13381, 12528, 11862, 19187, 5814, 10001, 13773, 14746, 8451, 20358, 13585, 10339, 7163, 24163, 37, 74787, 35349, 823, 18021, 1189, 11931, 19564, 11732, 324, 2491, 18, 1118, 50021, 14386]"
21,"[584, 989, 73460, 76088, 6994, 73162, 74663, 1352, 601, 7105, 27953, 83, 8767, 6277, 6815, 14460, 47006, 9433, 76442, 5488, 36069, 1141, 1687, 1415, 16, 1401, 74819, 20202, 74923, 8844, 18553, 235, 6920, 19564, 565, 74802, 1370, 18463, 6696, 10332, 2157, 664, 10501, 5486, 35029, 22990, 6741, 76816, 31845, 28011]"
22,"[7789, 6684, 6980, 6447, 9712, 6354, 20239, 9792, 10213, 18090, 9051, 26130, 9992, 35285, 1890, 6324, 7068, 10801, 25951, 43611, 25879, 37026, 379, 19811, 11986, 36449, 20140, 20110, 6464, 6746, 18169, 11898, 30020, 6954, 5936, 18785, 5718, 1789, 9417, 417, 6636, 11201, 14956, 9146, 12153, 29932, 6372, 933, 8093, 19227]"
23,"[60373, 10652, 11021, 37026, 42914, 48076, 33103, 9792, 17810, 10462, 26706, 7947, 63153, 9962, 9831, 41741, 14177, 8335, 26336, 43791, 66796, 7031, 36169, 30663, 22818, 989, 10849, 10361, 38034, 12933, 10851, 34169, 42516, 45684, 10977, 10321, 42679, 8462, 76469, 7004, 26678, 10779, 43809, 19388, 10630, 76088, 47613, 37088, 36287, 36301]"
24,"[10652, 14177, 11021, 6994, 47613, 15804, 26706, 5814, 4809, 9793, 43677, 28174, 7031, 74810, 10851, 73132, 3373, 28681, 16090, 24831, 6721, 11004, 10130, 30639, 15736, 26530, 75897, 34169, 28196, 33103, 37052, 5995, 36555, 10779, 10462, 42610, 37088, 28111, 75568, 43791, 31443, 6277, 2169, 48205, 48065, 26646, 8075, 50167, 27069, 26442]"
25,"[74663, 235, 75586, 74802, 74439, 990, 13118, 601, 6785, 7105, 100, 584, 47924, 958, 565, 6277, 76088, 989, 27953, 664, 74923, 1141, 74819, 47389, 74810, 7819, 6782, 9963, 72936, 74744, 504, 1881, 74434, 1685, 8767, 1664, 74845, 245, 15041, 9712, 13381, 6157, 345, 6465, 18021, 74921, 76442, 6505, 6324, 597]"
26,"[4809, 9793, 11021, 10652, 10779, 10870, 43677, 26646, 66111, 35915, 47613, 42516, 33103, 42401, 22818, 36555, 41822, 8597, 41741, 42828, 16038, 7896, 19189, 37025, 768, 8358, 2168, 11077, 66964, 10452, 27054, 38034, 10218, 39621, 3385, 27769, 9283, 10977, 68152, 9972, 34169, 65855, 56635, 77485, 20896, 37052, 76984, 5223, 20849, 26736]"
27,"[4809, 11021, 10973, 37057, 11013, 28174, 34419, 38034, 5632, 42401, 76906, 20909, 19535, 54371, 10896, 68175, 9389, 65176, 50700, 43677, 34434, 16081, 27054, 27555, 20817, 11077, 41741, 19034, 26827, 5164, 3385, 62497, 3242, 10462, 7942, 15718, 33905, 36540, 19485, 15983, 16038, 19189, 54662, 25080, 17345, 19979, 42746, 20818, 34167, 36525]"
28,"[41819, 10027, 6920, 14858, 1657, 740, 33081, 27503, 603, 27219, 27323, 1141, 18453, 10908, 46412, 26707, 32339, 27112, 32768, 27264, 6695, 33094, 64453, 77075, 13847, 69207, 27291, 46416, 21138, 28720, 56941, 3383, 7172, 1415, 1059, 4068, 7192, 9219, 13024, 3944, 38477, 13876, 68189, 6785, 38551, 69738, 76088, 910, 946, 41793]"
29,"[74663, 584, 76088, 235, 74802, 6741, 989, 16, 10074, 14858, 1707, 23149, 3205, 1608, 2157, 6283, 23056, 7105, 75586, 14808, 1372, 74439, 6815, 60381, 8817, 45806, 60, 1063, 6853, 6789, 6920, 601, 642, 73162, 8815, 6695, 951, 475, 74819, 1000, 6696, 565, 15122, 12482, 23236, 1141, 18791, 6676, 1415, 72046]"
30,"[565, 5814, 6277, 10130, 14177, 73132, 76442, 75897, 6691, 25065, 532, 75586, 74663, 19564, 14005, 776, 74948, 27953, 13822, 74923, 20055, 13381, 75568, 10360, 37, 7262, 47389, 25568, 28518, 37763, 14756, 18184, 43781, 18414, 5876, 19859, 14589, 1401, 5109, 73460, 10882, 74803, 13832, 5936, 9914, 14766, 1548, 27180, 1415, 14790]"
31,"[22988, 29692, 14221, 38140, 1359, 29613, 18463, 63900, 30080, 1657, 7397, 10074, 36871, 20200, 1355, 45881, 18501, 17971, 2014, 6893, 6696, 2581, 21002, 46480, 1063, 13485, 6880, 29333, 1404, 8808, 5486, 27503, 20202, 33017, 6903, 74663, 18802, 30103, 46498, 36890, 1352, 29947, 45821, 6887, 1323, 1059, 46556, 7412, 63622, 46549]"
32,"[28669, 9963, 35177, 10527, 989, 6741, 907, 46570, 23837, 19392, 26829, 76442, 18187, 2351, 53566, 7004, 6277, 75897, 5599, 37425, 57527, 77097, 74663, 6463, 10702, 38145, 14204, 12153, 38014, 63545, 62570, 38793, 74799, 38305, 5561, 6920, 54624, 32761, 73460, 52528, 944, 31329, 44338, 12914, 10047, 63533, 6299, 6820, 6727, 8566]"
33,"[7170, 26622, 70630, 71446, 27185, 12992, 19706, 3729, 19152, 16418, 63655, 3955, 63367, 47545, 4020, 66978, 3956, 4120, 26848, 4529, 698, 17942, 15392, 27391, 26713, 47755, 7494, 27592, 26679, 3300, 42605, 3344, 49643, 8597, 68736, 14005, 3944, 27783, 27728, 1470, 27823, 26572, 27339, 26582, 33075, 14278, 43, 33929, 4203, 3530]"
34,"[74663, 16, 60, 74439, 990, 15041, 6409, 18021, 601, 823, 13149, 5931, 74358, 74741, 324, 13118, 13371, 74838, 6972, 958, 77020, 6189, 72936, 14471, 25676, 2449, 8767, 22978, 27345, 7867, 74719, 14746, 9007, 7994, 5990, 13163, 22968, 6324, 633, 1907, 33713, 21, 18838, 11985, 2146, 37991, 74819, 62300, 18106, 62342]"
35,"[584, 47924, 76088, 16, 601, 60, 31958, 989, 27953, 6324, 10001, 958, 6455, 74923, 9992, 6062, 72936, 923, 74744, 15041, 7994, 6920, 784, 27954, 76, 6822, 6819, 5931, 102, 286, 4196, 21258, 24332, 1907, 6636, 7127, 9963, 12944, 15245, 6972, 30663, 3802, 9712, 76371, 6695, 946, 18571, 14900, 504, 14874]"
36,"[23056, 36886, 10074, 13876, 1657, 46498, 43577, 33080, 63900, 27503, 27310, 28621, 45951, 2014, 29692, 1063, 13574, 17971, 53278, 5486, 1404, 22988, 1355, 32339, 3944, 32041, 51836, 10669, 24173, 68189, 33056, 27347, 33044, 36871, 62699, 8976, 1352, 29613, 453, 19149, 46554, 27191, 45806, 20248, 27264, 33017, 46470, 8817, 32795, 18400]"
37,"[16256, 20745, 23353, 2349, 21715, 21627, 434, 15679, 23360, 21309, 23322, 25304, 77133, 22517, 28156, 22382, 36377, 24458, 22184, 21882, 47171, 63718, 25717, 12259, 3712, 21890, 76786, 23385, 23375, 6177, 12252, 16201, 22334, 25286, 15595, 2621, 23378, 58672, 21919, 24455, 23434, 21326, 28648, 683, 14471, 25340, 27345, 51204, 23400, 21520]"
38,"[837, 54662, 67988, 67964, 66890, 50700, 34451, 33927, 66887, 28137, 56651, 11435, 10973, 864, 35124, 19485, 30951, 19034, 34488, 17481, 50940, 37963, 66877, 40675, 42541, 65805, 37063, 28178, 19606, 77288, 67986, 43586, 65742, 76906, 42312, 19743, 66867, 36261, 25602, 17514, 15873, 53240, 32176, 17376, 50444, 65764, 28076, 54409, 67652, 20900]"
39,"[74663, 235, 75586, 74802, 603, 1470, 77133, 14005, 8767, 375, 10882, 16, 77131, 7152, 1141, 74439, 14858, 74744, 74819, 601, 6505, 7994, 27345, 2379, 13973, 73135, 76088, 2249, 7188, 10074, 6785, 10049, 73159, 23281, 60, 37, 322, 22987, 584, 76907, 15847, 565, 1644, 1548, 74948, 64453, 1685, 7170, 23035, 504]"
40,"[73135, 22965, 6177, 19589, 39801, 56256, 28156, 603, 7849, 2349, 50227, 6139, 15841, 48749, 16241, 71145, 41930, 48641, 50319, 49340, 20675, 20789, 47581, 40567, 9238, 49060, 47522, 39818, 50313, 45139, 235, 32179, 3671, 56480, 16239, 49234, 8511, 50279, 13973, 30463, 45994, 42996, 25104, 53593, 50332, 29104, 13517, 22987, 50287, 22354]"
41,"[54902, 41930, 71956, 40567, 56862, 55806, 40764, 48365, 42996, 56993, 61424, 51689, 60532, 57250, 58201, 54990, 52615, 22392, 58702, 67666, 58174, 55172, 57463, 58821, 59957, 69385, 54975, 25104, 71358, 58208, 55013, 52544, 73365, 70047, 61059, 54957, 39850, 71958, 71791, 39859, 57930, 67690, 60212, 53540, 67636, 58252, 42654, 59977, 71552, 60280]"
42,"[34859, 74663, 64453, 44010, 74802, 75586, 37997, 15661, 43895, 44035, 34849, 16, 62342, 235, 33553, 34918, 34963, 28732, 14858, 958, 44023, 34870, 44058, 23558, 67076, 6853, 43966, 149, 6920, 10882, 43437, 43905, 10057, 32175, 8767, 60, 28086, 63578, 74439, 34920, 10125, 65522, 13118, 77020, 34922, 34827, 9982, 155, 23551, 1141]"
43,"[74663, 75586, 235, 74802, 45081, 27345, 565, 77133, 6920, 74439, 1881, 16, 76088, 100, 73080, 601, 10001, 5854, 74810, 77131, 37, 75903, 22968, 13118, 75568, 74748, 73132, 6277, 74721, 28156, 22987, 990, 6465, 6785, 9963, 6815, 5814, 823, 989, 1664, 9839, 18186, 47389, 8451, 22978, 13381, 504, 31958, 958, 19006]"
44,"[30639, 19121, 642, 8380, 35900, 28681, 69454, 64326, 26703, 11021, 41731, 22871, 74748, 8556, 25668, 4572, 51123, 31913, 10749, 61057, 68353, 53788, 76984, 13768, 41765, 34274, 17827, 66964, 66111, 10167, 50503, 9383, 36506, 9895, 73460, 6680, 6994, 14058, 66857, 43661, 41869, 7916, 42742, 30358, 26882, 25538, 27515, 29474, 38509, 27500]"
45,"[45135, 14589, 13679, 49748, 7105, 28681, 16239, 7044, 956, 11123, 77051, 10257, 17836, 14005, 28789, 3373, 34560, 13993, 13842, 21138, 74721, 27953, 5109, 9390, 19006, 23661, 73080, 49899, 6179, 50173, 26703, 36261, 8054, 37015, 30878, 8266, 74923, 15491, 34556, 36279, 25265, 76371, 13387, 19121, 776, 4280, 36984, 6680, 15674, 3314]"
46,"[15233, 16205, 29705, 26191, 6177, 64284, 1939, 51802, 44624, 55194, 39021, 26209, 22436, 15598, 49771, 76786, 16256, 53083, 21464, 2528, 21435, 75296, 28936, 765, 24752, 39872, 3135, 15436, 3541, 49402, 37213, 68552, 76708, 48336, 16257, 49722, 25100, 21882, 36197, 61530, 69760, 70711, 24620, 34640, 31938, 46059, 31937, 38727, 22804, 16641]"
47,"[235, 16, 31322, 14738, 15041, 29619, 417, 74819, 60, 74671, 6822, 11201, 6684, 27827, 6741, 9792, 989, 2009, 1431, 43895, 37991, 63168, 6354, 6820, 1867, 7144, 34849, 1141, 14640, 26, 74840, 958, 38219, 73460, 933, 5686, 37826, 73637, 7784, 74744, 7004, 10213, 6277, 62474, 7867, 62484, 7789, 74845, 73159, 990]"
48,"[22002, 22276, 22191, 6680, 21959, 22784, 32679, 22812, 21871, 22214, 42805, 22557, 25026, 11881, 22038, 21964, 22028, 22588, 22748, 32650, 12262, 21768, 22750, 22562, 11805, 25016, 22123, 22019, 24361, 25329, 21962, 1533, 22564, 65750, 22681, 6491, 24816, 24783, 65694, 48389, 22878, 73685, 12936, 32643, 11732, 21595, 22830, 21424, 22153, 2734]"
49,"[60, 44010, 33713, 14906, 44035, 14942, 14864, 23236, 7819, 37870, 7936, 21250, 37986, 45433, 37859, 8819, 2449, 34817, 23020, 23267, 62952, 43981, 29731, 946, 11985, 15308, 44050, 14930, 5702, 27721, 37961, 74358, 14503, 13371, 7651, 6914, 62472, 6316, 6972, 13139, 371, 73721, 27670, 76, 43437, 18702, 24167, 20159, 22987, 28032]"
50,"[74663, 74802, 235, 75586, 324, 823, 6139, 958, 1202, 27345, 74439, 10001, 5854, 37, 60, 77133, 6785, 1177, 75675, 990, 18927, 14471, 6972, 14746, 6409, 18, 9393, 74810, 6920, 1881, 74721, 13275, 5766, 13364, 22968, 18021, 6674, 11862, 6189, 18049, 286, 7766, 1153, 11880, 74741, 12107, 15958, 74668, 997, 356]"
51,"[74663, 14177, 75586, 74802, 77133, 19564, 13381, 9839, 235, 10001, 12944, 73460, 18206, 73132, 7004, 5814, 14380, 75903, 9890, 45081, 77131, 27345, 73080, 10057, 10480, 14797, 18186, 18969, 74439, 1177, 8767, 5854, 18049, 15700, 10323, 13588, 23939, 823, 45181, 11836, 74787, 819, 30663, 28741, 1078, 10213, 31322, 2168, 18187, 7867]"
52,"[12107, 1153, 13364, 27953, 31929, 74923, 74721, 5854, 565, 45081, 19006, 13381, 12027, 13387, 14736, 6277, 23661, 1881, 75568, 7044, 7735, 10339, 2349, 9963, 14393, 27345, 13588, 12944, 12195, 5109, 6189, 12444, 74364, 100, 9794, 16239, 12218, 74810, 1522, 340, 6933, 1277, 12229, 14444, 14471, 5886, 28681, 333, 27830, 6721]"
53,"[235, 74663, 74439, 74802, 990, 47924, 75586, 6741, 989, 584, 6367, 7105, 6324, 18785, 76088, 27827, 9712, 18520, 9992, 6455, 1318, 30663, 37, 6684, 2230, 6636, 5488, 6920, 37561, 74819, 6062, 6434, 15041, 74671, 1563, 6409, 47, 7994, 35285, 6719, 6720, 29, 74744, 14956, 1372, 7789, 26130, 6746, 20140, 9706]"
54,"[74663, 235, 74802, 75586, 6920, 74819, 958, 16, 74439, 60, 6853, 6277, 15041, 13118, 1141, 37, 74744, 74845, 7105, 6741, 47924, 345, 7994, 1907, 76088, 5990, 601, 14808, 9963, 47389, 44010, 76, 6505, 14939, 5985, 73132, 12944, 1415, 73159, 14864, 11985, 31322, 6314, 584, 62480, 206, 25640, 9007, 43906, 6189]"
55,"[22983, 1141, 6791, 989, 74663, 1010, 29692, 8840, 38140, 1657, 29733, 37, 277, 9992, 7947, 1118, 6905, 1707, 1355, 13485, 6886, 18463, 23061, 6906, 75586, 6747, 19564, 6700, 1396, 62300, 23039, 1370, 22982, 1637, 642, 6822, 1352, 73162, 6994, 1768, 6900, 1404, 23026, 1063, 8808, 16, 38549, 8817, 29612, 73132]"
56,"[31499, 26413, 12892, 28681, 45457, 16641, 34628, 18987, 28101, 10414, 2107, 25602, 74923, 34262, 11206, 30895, 3373, 17514, 34497, 34272, 34478, 17254, 1305, 50153, 24775, 17376, 34667, 17436, 17413, 59622, 30730, 42233, 76543, 27953, 55657, 31359, 2922, 34385, 12201, 21724, 34623, 34341, 64953, 42866, 20486, 27345, 10536, 34429, 42571, 34372]"
57,"[74663, 235, 74802, 75586, 990, 74744, 16, 73159, 1664, 60, 1141, 76088, 7994, 44010, 74439, 74819, 13118, 44035, 6314, 14808, 15041, 6785, 43895, 47389, 6741, 1513, 1644, 6853, 958, 25640, 5990, 23553, 23149, 21271, 2380, 14939, 37870, 584, 6157, 6789, 946, 73888, 37, 43905, 14864, 6820, 24254, 7888, 7105, 37859]"
58,"[6277, 989, 584, 76442, 76088, 37, 7105, 14177, 206, 74719, 7004, 77133, 9792, 75897, 6324, 5109, 73460, 8767, 601, 12944, 9963, 10130, 37622, 19564, 6994, 47924, 597, 6822, 5985, 6920, 6465, 16, 19388, 1141, 31496, 27953, 10849, 75568, 11201, 5638, 11222, 29975, 1881, 74819, 6815, 18187, 9890, 73132, 1664, 72936]"
59,"[34918, 43895, 34849, 62342, 34870, 34910, 34920, 37991, 44010, 44011, 44047, 37997, 34839, 46407, 43905, 37826, 63578, 44023, 43971, 44085, 29549, 34856, 34895, 63887, 28732, 43994, 34963, 34922, 44128, 34869, 43981, 43978, 35003, 43998, 34879, 34838, 74671, 23558, 38367, 34916, 43974, 62468, 34912, 34858, 77804, 34899, 43977, 34881, 34949, 68707]"
60,"[47389, 7105, 14380, 6417, 6904, 10056, 793, 4196, 6741, 6277, 10869, 10213, 15245, 5876, 6747, 6861, 9146, 235, 7605, 601, 5873, 20369, 417, 6357, 7004, 37095, 8650, 5555, 2293, 14177, 17906, 18785, 6792, 9992, 11960, 29975, 11826, 6455, 653, 957, 7116, 43781, 10801, 584, 7336, 7947, 6727, 6379, 9413, 14583]"
61,"[990, 37, 6277, 72936, 6324, 7105, 9712, 74748, 74721, 206, 5718, 235, 584, 31958, 6465, 1664, 47924, 989, 74663, 6409, 6972, 74719, 47389, 11981, 6189, 10849, 130, 9992, 597, 601, 6920, 286, 653, 100, 74819, 8650, 10001, 923, 10056, 6842, 27954, 5547, 77307, 76442, 6363, 18347, 30663, 5936, 6455, 76088]"
62,"[74663, 17906, 10801, 9792, 27884, 46570, 19392, 29594, 7784, 5445, 20369, 6206, 29619, 6684, 45455, 417, 74671, 29975, 5561, 5638, 31761, 989, 354, 6300, 6234, 37026, 29611, 7004, 35349, 12153, 7068, 27827, 9070, 392, 11233, 7789, 35317, 23837, 597, 6820, 6277, 30020, 12907, 6324, 35177, 965, 26377, 6592, 6980, 7947]"
63,"[235, 74663, 74802, 75586, 47924, 6324, 6920, 6972, 37, 584, 74439, 130, 6062, 11981, 6367, 30014, 73756, 6636, 6819, 27954, 76, 7121, 7105, 6323, 653, 7127, 74434, 245, 6305, 6869, 9647, 10001, 20167, 6950, 18347, 47, 47389, 6861, 74096, 1013, 6329, 222, 1907, 6330, 74748, 21258, 18571, 6277, 6786, 74845]"
64,"[37, 6277, 6071, 6324, 10360, 990, 9712, 74748, 597, 5936, 13381, 14766, 14177, 5814, 912, 1258, 14444, 6453, 74721, 5718, 10323, 185, 9927, 11981, 7, 30663, 1329, 75586, 18016, 73720, 1940, 14406, 10149, 8650, 6357, 5799, 10213, 6455, 5876, 670, 76442, 4196, 579, 1664, 2293, 6950, 20109, 75903, 9890, 6062]"
65,"[990, 13118, 958, 76088, 1664, 6920, 74744, 584, 16, 7105, 1141, 74819, 37, 22987, 60, 77133, 10001, 989, 74719, 7994, 77131, 7819, 375, 14808, 8767, 74434, 73132, 9007, 74845, 923, 206, 13149, 597, 841, 47924, 27345, 14471, 10882, 27954, 7867, 11981, 6972, 504, 1152, 15041, 11985, 13973, 6815, 6505, 18021]"
66,"[74748, 30663, 990, 6324, 74719, 823, 74663, 206, 19922, 31322, 7004, 75568, 14177, 45163, 989, 2205, 73132, 6277, 5566, 9831, 15700, 9890, 1936, 35349, 10001, 7284, 597, 7947, 6409, 1844, 923, 74810, 31915, 35285, 6980, 37, 18187, 819, 31686, 74711, 7789, 75586, 235, 23939, 19564, 6453, 19348, 18, 11201, 10213]"
67,"[25038, 74748, 13570, 13458, 10807, 24843, 9629, 20928, 21155, 28156, 13798, 13968, 11017, 13288, 11149, 24737, 13797, 26481, 7538, 1719, 13279, 20651, 20795, 10791, 24188, 13644, 22680, 45578, 1598, 13954, 8381, 13413, 7783, 18912, 18887, 7404, 7884, 6059, 76069, 75653, 28749, 10959, 28425, 15246, 1642, 3637, 14742, 8629, 14793, 14559]"
68,"[6277, 7004, 6980, 989, 7789, 2205, 27827, 9792, 19922, 6684, 74819, 10801, 76442, 5547, 10213, 37, 7096, 73132, 11201, 17906, 9963, 47924, 47389, 19796, 6842, 19348, 7784, 37026, 18071, 74663, 6741, 31322, 20369, 29975, 30020, 10849, 30663, 20239, 35285, 7747, 1936, 1867, 35349, 6363, 7764, 29594, 6869, 10030, 5711, 73838]"
69,"[73132, 37, 75568, 74719, 9992, 990, 6324, 206, 7004, 9792, 7105, 6071, 14380, 26336, 5985, 11981, 5936, 989, 76442, 6980, 5718, 5547, 19564, 74752, 19922, 320, 43781, 9007, 7789, 532, 222, 10213, 6684, 10360, 36865, 10323, 14557, 73720, 9890, 19094, 1141, 6892, 7116, 75903, 5705, 8650, 6363, 7031, 1664, 14716]"
